Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Blue Cheese Dressing (2 tbsp),0.22058824,0.022222223,0.028571429,0.4,0.0,0.016666668,0.20253165,0.022222223,0.0
Blueberries (1/2 cup),0.061764706,0.011111111,0.15714286,0.0050000004,0.12857144,0.116666675,0.0006329114,0.0,0.0
Bobotie (1 serving),0.66176474,0.5555556,0.42857143,0.625,0.35714287,0.25,0.443038,0.33333334,0.0
Bok Choy (1 cup steamed),0.014705882,0.033333335,0.028571429,0.0025000002,0.071428575,0.016666668,0.025316456,0.0,0.0
Bread Roll (hoagie),0.29411766,0.13333334,0.54285717,0.05,0.14285715,0.050000004,0.25316456,0.0,0.0
Breadcrumbs (coating),0.036764707,0.011111111,0.057142857,0.0125,0.035714287,0.008333334,0.03164557,0.0,0.0
Breadstick (1 large),0.23529412,0.08888889,0.4,0.075,0.071428575,0.033333335,0.221519,0.0,0.0
Brie Cheese (1 oz),0.13970588,0.13333334,0.0014285714,0.1975,0.0,0.0016666668,0.112658225,0.062222224,0.0
Brown Rice (1 cup cooked),0.31617647,0.11111111,0.64285713,0.044999998,0.25,0.0066666673,0.006329114,0.0,0.0
Bruschetta (2 pcs),0.2647059,0.08888889,0.35714287,0.175,0.21428573,0.06666667,0.221519,0.0,0.0
Bubble Tea (16 oz milk tea),0.47058824,0.044444446,1.0,0.1,0.071428575,1.0,0.06329114,0.022222223,0.94600004
Bulgur (1 tbsp shell),0.022058824,0.011111111,0.04857143,0.0,0.05714286,0.0,0.0006329114,0.0,0.0
Bulgur (1/4 cup in tabouli),0.11176471,0.060000002,0.24,0.0050000004,0.29285714,0.0016666668,0.0025316456,0.0,0.0
Bun (hamburger),0.20588236,0.08888889,0.37142858,0.05,0.071428575,0.06666667,0.16455697,0.0,0.0
Burger (cheeseburger),0.8088235,0.6666667,0.5714286,0.75,0.21428573,0.116666675,0.6962025,0.2,1.0
Butter (1 tbsp),0.14705883,0.0022222223,0.0,0.275,0.0,0.0,0.051898733,0.06666667,0.0
Cabbage Slaw (side),0.0882353,0.022222223,0.114285715,0.075,0.14285715,0.083333336,0.07594937,0.011111111,0.0
Cacio e Pepe (1.5 cups),0.7352941,0.4,0.92857146,0.475,0.2857143,0.050000004,0.443038,0.11111111,0.0
Caesar Salad (with chicken),0.6911765,0.6666667,0.21428572,0.75,0.21428573,0.050000004,0.56329113,0.16666667,0.5
Calamari (fried 3oz),0.22058824,0.2888889,0.114285715,0.175,0.071428575,0.016666668,0.37974682,0.4888889,0.0
Campari & Soda (1 drink),0.125,0.0,0.14285715,0.0,0.0,0.16666667,0.015822785,0.0,0.3
Campari (1 oz),0.11764706,0.0,0.14285715,0.0,0.0,0.16666667,0.003164557,0.0,0.0
Canadian Bacon (2 slices),0.11764706,0.26666668,0.014285714,0.075,0.0,0.016666668,0.41139242,0.08888889,0.0
Candied Fruit (1 tbsp),0.04411765,0.0,0.114285715,0.0,0.035714287,0.13333334,0.003164557,0.0,0.0
Cannellini Beans (1/2 cup in soup),0.15441176,0.15555556,0.2857143,0.0125,0.42857146,0.016666668,0.14556962,0.0,0.0
Cannoli (1 medium),0.3529412,0.11111111,0.35714287,0.32500002,0.071428575,0.3,0.06329114,0.06666667,0.0
Capers (1 tbsp),0.0029411765,0.0044444446,0.0057142857,0.0025000002,0.021428574,0.0016666668,0.12658228,0.0,0.0
Capers (garnish),0.0029411765,0.0044444446,0.0057142857,0.0025000002,0.021428574,0.0016666668,0.12658228,0.0,0.0
Caponata (1/2 cup),0.2647059,0.044444446,0.21428572,0.35,0.35714287,0.15,0.25316456,0.0,0.0
Caprese Salad,0.3529412,0.22222222,0.114285715,0.45000002,0.14285715,0.083333336,0.221519,0.08888889,0.5
Caramel Sauce (1 tbsp),0.0882353,0.0,0.18571429,0.025,0.0,0.20000002,0.018987343,0.011111111,0.0
Carbonara (1.5 cups),0.9558824,0.5555556,0.85714287,0.875,0.2857143,0.06666667,0.56962025,0.5555556,0.0
Cardamom (in coffee),0.0014705883,0.0,0.0028571428,0.0,0.0071428576,0.0,0.0,0.0,0.0
Carrot (1/4 minced in sauce),0.014705882,0.0044444446,0.034285717,0.0025000002,0.05,0.020000001,0.010759493,0.0,0.0
Carrot Sticks (1 cup),0.07647059,0.02666667,0.17571428,0.0075000003,0.25714287,0.10000001,0.055696204,0.0,0.0
Cashews (1 oz roasted),0.23970589,0.09555556,0.13142857,0.32750002,0.06428572,0.023333333,0.088607594,0.0,0.0
Celery (1 stalk),0.00882353,0.0066666673,0.017142858,0.0025000002,0.042857148,0.008333334,0.020253165,0.0,0.0
Celery (1/4 stalk minced),0.0029411765,0.0022222223,0.0057142857,0.0,0.014285715,0.0033333336,0.0075949365,0.0,0.0
Celery Sticks (1 cup),0.020588236,0.013333335,0.042857144,0.0050000004,0.1,0.020000001,0.048734177,0.0,0.0
Century Egg (1 egg),0.14705883,0.15555556,0.014285714,0.175,0.0,0.008333334,0.18987341,0.44444445,0.0
Cereal (Frosted Flakes 1 cup),0.19117647,0.044444446,0.44285715,0.0,0.071428575,0.18333334,0.12025317,0.0,0.0
Cereal Bar (Fruit),0.20588236,0.044444446,0.42857143,0.075,0.071428575,0.25,0.06962025,0.0,0.5
Ceviche (1 cup fish),0.2647059,0.5555556,0.21428572,0.05,0.21428573,0.06666667,0.443038,0.1,0.0
Chai Latte (12 oz),0.27941176,0.15555556,0.45714286,0.1,0.071428575,0.5,0.0664557,0.033333335,0.71000004
Cheddar Cheese (1 oz),0.16911764,0.15555556,0.014285714,0.2375,0.0,0.008333334,0.11392405,0.06666667,0.0
Cheese Danish,0.5,0.15555556,0.54285717,0.45000002,0.14285715,0.26666668,0.18987341,0.12222222,0.5
Cheese Whiz (2 tbsp),0.13235295,0.08888889,0.042857144,0.175,0.0,0.033333335,0.34177217,0.044444446,0.0
Cheesecake (1 slice),0.47058824,0.11111111,0.4,0.52500004,0.071428575,0.33333334,0.17721519,0.14444445,0.5
Cheesy Grits (1 cup),0.30882353,0.13333334,0.4857143,0.15,0.14285715,0.016666668,0.34810126,0.044444446,0.0
Cherries (1 cup),0.113235295,0.035555556,0.27142859,0.0125,0.17857143,0.25,0.0,0.0,0.0
Chicken & Rice Soup (1 can),0.19117647,0.15555556,0.25714287,0.075,0.14285715,0.033333335,0.5379747,0.033333335,0.5
Chicken Alfredo (1.5 cups),1.0,0.7777778,0.64285713,0.95,0.2857143,0.083333336,0.62025315,0.26666668,0.5
Chicken Breast (4oz roasted),0.2720588,0.7777778,0.0,0.1,0.0,0.0,0.050632913,0.21111111,1.0
Chicken Kebab (2 skewers),0.4117647,0.6666667,0.114285715,0.35,0.21428573,0.06666667,0.3164557,0.18888889,0.5
Chicken Liver (2 oz cooked),0.13382353,0.30222225,0.008571429,0.089999996,0.0,0.0,0.03164557,0.7111111,0.0
Chicken McNuggets (6 pcs),0.39705884,0.33333334,0.22857143,0.4,0.071428575,0.0,0.3164557,0.08888889,0.0
Chicken Milanesa (1 serving),0.66176474,0.7777778,0.42857143,0.55,0.21428573,0.033333335,0.443038,0.22222222,0.0
Chicken Noodle Soup (1 can),0.22058824,0.15555556,0.25714287,0.125,0.14285715,0.033333335,0.56329113,0.033333335,0.5
Chicken Parm Sandwich,0.9558824,0.8888889,0.78571427,0.75,0.42857146,0.15,0.886076,0.22222222,1.0
Chicken Piccata (1 serving),0.5147059,0.6666667,0.14285715,0.5,0.071428575,0.033333335,0.37974682,0.2,0.5
Chicken Salad Sandwich,0.61764705,0.44444445,0.5,0.5,0.21428573,0.083333336,0.5379747,0.13333334,0.5
Chicken Thigh (1 roasted),0.30882353,0.53333336,0.0,0.32500002,0.0,0.0,0.056962024,0.26666668,0.0
Chicken Tikka Masala (1.5 cups),0.7058824,0.6666667,0.2857143,0.75,0.35714287,0.13333334,0.56962025,0.21111111,0.5
Chicken Wrap (with tortilla),0.6029412,0.5555556,0.54285717,0.425,0.35714287,0.050000004,0.49367088,0.13333334,0.5
Chickpeas (1/2 cup canned),0.19852942,0.15555556,0.31428573,0.05,0.42857146,0.050000004,0.15822785,0.0,0.0
Chili Powder (1 tsp),0.011764706,0.0066666673,0.02,0.010000001,0.06428572,0.0033333336,0.006329114,0.0,0.0
Chimichurri (1 tbsp),0.066176474,0.0022222223,0.007142857,0.112500004,0.014285715,0.0016666668,0.06329114,0.0,0.0
Chocolate (Hershey's bar 1 segment),0.036764707,0.0066666673,0.042857144,0.0375,0.014285715,0.046666667,0.0025316456,0.0022222223,0.0
Chocolate Chip Cookie (1 large),0.32352942,0.055555556,0.42857143,0.275,0.107142866,0.3166667,0.101265825,0.044444446,0.0
Chocolate Croissant,0.5147059,0.13333334,0.5714286,0.475,0.21428573,0.25,0.18987341,0.08888889,0.5
Chocolate Donut (1 medium),0.44117647,0.08888889,0.5,0.425,0.14285715,0.3,0.14556962,0.044444446,0.0
Chocolate Milk (1 cup),0.29411766,0.17777778,0.37142858,0.2,0.071428575,0.40000004,0.101265825,0.06666667,0.0
Chocolate Pudding (1/2 cup),0.22058824,0.044444446,0.4,0.1,0.14285715,0.36666667,0.08227848,0.0044444446,0.0
Chocolate Sauce (1 tbsp dipping),0.073529415,0.011111111,0.14285715,0.0375,0.071428575,0.13333334,0.003164557,0.0,0.0
Choripan (1 sandwich),0.8088235,0.44444445,0.5714286,0.875,0.21428573,0.06666667,0.6962025,0.17777778,0.5
Chorizo (1 oz in paella),0.19117647,0.13333334,0.014285714,0.275,0.0,0.008333334,0.221519,0.06666667,0.0
Churros (2 sticks),0.3529412,0.06666667,0.42857143,0.3,0.107142866,0.16666667,0.12658228,0.044444446,0.0
Chutney (Mango 1 tbsp),0.066176474,0.0022222223,0.15714286,0.0025000002,0.035714287,0.16666667,0.11392405,0.0,0.0
Cilantro (2 tbsp garnish),0.0014705883,0.0022222223,0.0,0.0,0.0071428576,0.0,0.0,0.0,0.0
Cinnamon Sugar (1 tsp),0.029411765,0.0,0.071428575,0.0,0.0,0.083333336,0.0,0.0,0.0
Clam Chowder (1 cup),0.29411766,0.22222222,0.25714287,0.22500001,0.071428575,0.033333335,0.5506329,0.06666667,0.0
Club Sandwich,0.8529412,0.7777778,0.5714286,0.75,0.35714287,0.116666675,0.82278484,0.21111111,1.0
Club Soda (2 oz),0.0,0.0,0.0,0.0,0.0,0.0,0.012658228,0.0,0.0
Coarse Salt (garnish),0.0,0.0,0.0,0.0,0.0,0.0,0.12658228,0.0,0.0
Cobb Salad,0.75,0.6666667,0.17142858,0.95,0.5,0.10000001,0.5063291,0.46666667,1.0
Cocktail Sauce (2 tbsp),0.04411765,0.011111111,0.1,0.0,0.035714287,0.083333336,0.28481013,0.0,0.0
Coconut (shredded 1/4 cup),0.16176471,0.022222223,0.06428572,0.26250002,0.14285715,0.025000002,0.0018987341,0.0,0.0
Coconut (shredded garnish),0.014705882,0.0022222223,0.007142857,0.025,0.014285715,0.0016666668,0.0,0.0,0.0
Coconut Flakes (1 tbsp topping),0.05147059,0.0066666673,0.021428572,0.0825,0.05,0.008333334,0.0006329114,0.0,0.0
Coconut Milk (1/4 cup canned),0.16323529,0.024444446,0.041428573,0.29000002,0.035714287,0.025000002,0.005063291,0.0,0.0
Coconut Shrimp (5 pcs),0.47058824,0.22222222,0.35714287,0.5,0.21428573,0.13333334,0.37974682,0.17777778,0.0
Coconut Water (1 cup),0.06764706,0.03777778,0.12714285,0.0125,0.18571429,0.10500001,0.15949367,0.0,0.48000002
Cod (4oz baked),0.13970588,0.44444445,0.0,0.020000001,0.0,0.0,0.060126584,0.12222222,0.5
Coffee (black),0.007352941,0.0066666673,0.0,0.0025000002,0.0,0.0,0.003164557,0.0,0.0
Coffee (with cream/sugar),0.073529415,0.011111111,0.071428575,0.075,0.0,0.075,0.006329114,0.022222223,0.5
Coffee Beans (3 garnish),0.0029411765,0.0022222223,0.0042857146,0.0,0.0071428576,0.0,0.0,0.0,0.0
Coffee Liqueur (1 oz),0.14705883,0.0,0.21428572,0.0,0.0,0.25,0.0012658228,0.0,0.0
Collard Greens (1 cup cooked),0.0882353,0.11111111,0.14285715,0.025,0.5,0.016666668,0.025316456,0.0,0.0
Collard Greens (with ham hock),0.2647059,0.22222222,0.21428572,0.22500001,0.5714286,0.050000004,0.37974682,0.06666667,0.0
Congee (1 cup plain),0.19117647,0.055555556,0.4,0.025,0.071428575,0.008333334,0.18987341,0.0,0.0
Coriander (1 tsp),0.007352941,0.0022222223,0.014285714,0.0050000004,0.035714287,0.0,0.0006329114,0.0,0.0
Corn (1 cup),0.19411765,0.104444444,0.42857143,0.044999998,0.25714287,0.14833334,0.0012658228,0.0,0.0
Corn Flakes (1 cup),0.14705883,0.044444446,0.34285715,0.0,0.071428575,0.050000004,0.12658228,0.0,0.0
Corn Nuts (1 oz),0.19117647,0.044444446,0.32857144,0.1,0.14285715,0.0,0.11392405,0.0,0.0
Corn Tortilla (1 medium),0.07647059,0.031111112,0.16,0.0175,0.107142866,0.0033333336,0.0025316456,0.0,0.0
Corn on the Cob (1 large),0.18382353,0.11111111,0.41428572,0.0375,0.21428573,0.083333336,0.0012658228,0.0,0.0
Cottage Cheese (1 cup low fat),0.23529412,0.62222224,0.08571429,0.0625,0.0,0.06666667,0.51898736,0.022222223,0.5
Cottage Cheese (1/2 cup),0.13235295,0.26666668,0.071428575,0.075,0.0,0.06666667,0.25316456,0.022222223,0.0
Crab Cakes (2 medium),0.5,0.44444445,0.25714287,0.5,0.071428575,0.033333335,0.443038,0.26666668,0.5
Crackers (5 whole wheat),0.13235295,0.044444446,0.2,0.075,0.14285715,0.0,0.11392405,0.0,0.0
Cranberry Juice (1 cup),0.19117647,0.0,0.47142857,0.0,0.0,0.5,0.006329114,0.0,0.48000002
Cream Cheese (2 tbsp),0.14705883,0.044444446,0.028571429,0.25,0.0,0.016666668,0.056962024,0.06666667,0.0
Creamed Spinach (1/2 cup),0.27941176,0.11111111,0.114285715,0.4,0.21428573,0.033333335,0.28481013,0.11111111,0.0
Crepe (1 plain),0.13235295,0.07777778,0.2,0.05,0.035714287,0.050000004,0.06329114,0.055555556,0.0
Croutons (1/4 cup),0.073529415,0.033333335,0.1,0.05,0.035714287,0.008333334,0.088607594,0.0,0.0
Croutons (Garlic 1/4 cup),0.073529415,0.033333335,0.1,0.05,0.035714287,0.008333334,0.088607594,0.0,0.0
Crushed Tomatoes (1/2 cup sauce),0.029411765,0.022222223,0.057142857,0.0,0.107142866,0.050000004,0.12658228,0.0,0.0
Cucumber (1/4 cup side),0.011764706,0.0066666673,0.025714286,0.0,0.014285715,0.013333335,0.0006329114,0.0,0.0
Cucumber Salad (1/2 cup),0.05882353,0.022222223,0.071428575,0.05,0.071428575,0.06666667,0.12658228,0.0,0.0
Cucumber Slices (1 cup),0.023529412,0.015555556,0.05142857,0.0025000002,0.035714287,0.028333336,0.0012658228,0.0,0.0
Cumin (1 tsp),0.011764706,0.0066666673,0.021428572,0.0125,0.02857143,0.0016666668,0.0018987341,0.0,0.0
Cupcake (Vanilla 1 medium),0.3529412,0.044444446,0.5,0.275,0.071428575,0.4166667,0.12658228,0.06666667,0.0
Custard (1/4 cup),0.11764706,0.06666667,0.14285715,0.075,0.0,0.13333334,0.025316456,0.08888889,0.0
Danish (Cheese 1 medium),0.5,0.15555556,0.54285717,0.45000002,0.14285715,0.26666668,0.18987341,0.12222222,0.5
Dark Chocolate (1 oz 70%),0.25,0.048888892,0.18571429,0.3,0.21428573,0.116666675,0.003164557,0.0,0.0
Dates (2 medium Medjool),0.19558825,0.017777778,0.51428574,0.0025000002,0.22857144,0.53333336,0.0006329114,0.0,0.0
Diet Soda (1 can),0.0,0.0,0.0,0.0,0.0,0.0,0.025316456,0.0,0.71000004
Dim Sum (Siu Mai 3 pcs),0.2647059,0.26666668,0.14285715,0.25,0.14285715,0.016666668,0.34810126,0.13333334,0.0
Duck (3oz roasted),0.41911766,0.35555556,0.0,0.6,0.0,0.0,0.04113924,0.16,0.0
Dulce de Leche (1 tbsp filling),0.09558824,0.022222223,0.17142858,0.0375,0.0,0.16666667,0.018987343,0.011111111,0.0
Edamame (in pod 1 cup),0.1764706,0.24444444,0.12857144,0.125,0.35714287,0.033333335,0.0056962026,0.0,0.5
Egg Drop Soup (1 cup),0.09558824,0.11111111,0.08571429,0.05,0.035714287,0.016666668,0.49367088,0.11111111,0.0
Egg Noodles (1 cup cooked),0.32352942,0.17777778,0.5714286,0.075,0.14285715,0.033333335,0.012658228,0.11111111,0.0
Egg White (in drink),0.025,0.08,0.0028571428,0.0,0.0,0.0033333336,0.034810126,0.0,0.0
Egg Yolk (1 large in sauce),0.080882356,0.060000002,0.008571429,0.112500004,0.0,0.0050000004,0.005063291,0.4088889,0.0
Eggo Waffle (2 waffles),0.2647059,0.08888889,0.42857143,0.125,0.071428575,0.06666667,0.25316456,0.0,0.0
Eggplant (1/2 cup in caponata),0.05882353,0.011111111,0.08571429,0.05,0.14285715,0.050000004,0.094936706,0.0,0.0
Eggs Benedict (1 serving),0.88235295,0.5555556,0.42857143,1.0,0.21428573,0.06666667,0.6962025,1.0,0.5
Empanada (Beef 1 medium),0.4264706,0.22222222,0.4,0.4,0.21428573,0.050000004,0.34810126,0.06666667,0.0
English Muffin (whole wheat),0.19705883,0.13333334,0.37142858,0.025,0.31428573,0.016666668,0.1329114,0.0,0.5
Espresso (1 oz in drink),0.004411765,0.0066666673,0.0,0.0025000002,0.0,0.0,0.0006329114,0.0,0.0
Espresso (double shot),0.007352941,0.011111111,0.0,0.0025000002,0.0,0.0,0.0006329114,0.0,0.120000005
Espresso (for dipping),0.0029411765,0.0044444446,0.0,0.0,0.0,0.0,0.0006329114,0.0,0.060000002
Espresso Martini (1 drink),0.4117647,0.011111111,0.35714287,0.0,0.0,0.4166667,0.003164557,0.0,0.24000001
Falafel (3 pieces),0.2647059,0.13333334,0.25714287,0.22500001,0.2857143,0.016666668,0.20253165,0.0,0.0
Fattoush Salad (1.5 cups),0.36764705,0.11111111,0.35714287,0.375,0.42857146,0.083333336,0.3164557,0.0,0.0
Feta Cheese (1 oz),0.11029412,0.08888889,0.017142858,0.1525,0.0,0.011666667,0.2,0.055555556,0.0
Figs (2 medium),0.10882353,0.013333335,0.27428573,0.0075000003,0.20714287,0.27000004,0.0012658228,0.0,0.0
Fiorentina Steak (3oz portion),0.3382353,0.53333336,0.0,0.375,0.0,0.0,0.037974685,0.16666667,0.0
Fish Sauce (1 tsp),0.007352941,0.008888889,0.007142857,0.0,0.0,0.0066666673,0.28481013,0.0,0.0
Fish Tacos (2 tacos),0.61764705,0.5555556,0.5714286,0.45000002,0.42857146,0.083333336,0.443038,0.13333334,1.0
Flan (1 slice),0.32352942,0.13333334,0.5,0.175,0.0,0.55,0.050632913,0.2,0.0
Focaccia (1 square),0.36764705,0.17777778,0.5714286,0.175,0.14285715,0.033333335,0.3164557,0.0,0.0
French Bread (2 slices),0.2647059,0.13333334,0.51428574,0.025,0.14285715,0.033333335,0.24050634,0.0,0.0
French Fries (as side),0.29411766,0.044444446,0.35714287,0.25,0.14285715,0.0033333336,0.08227848,0.0,0.0
French Fries (medium),0.5,0.08888889,0.62857145,0.425,0.2857143,0.0050000004,0.14556962,0.0,0.0
French Fries (side),0.5,0.08888889,0.62857145,0.425,0.2857143,0.0050000004,0.14556962,0.0,0.0
French Onion Soup (1 cup),0.22058824,0.13333334,0.21428572,0.175,0.14285715,0.083333336,0.5063291,0.044444446,0.5
Fresh Mozzarella (1 oz),0.105882354,0.11111111,0.011428571,0.125,0.0,0.0050000004,0.08734177,0.048888892,0.0
Fried Okra (1 cup),0.32352942,0.08888889,0.35714287,0.3,0.35714287,0.050000004,0.28481013,0.022222223,0.0
Fried Pita (1/2 pita in salad),0.11764706,0.044444446,0.17142858,0.075,0.071428575,0.008333334,0.094936706,0.0,0.0
Frosting (Vanilla 2 tbsp),0.20588236,0.0,0.31428573,0.15,0.0,0.36666667,0.04113924,0.0,0.0
Fruit Cocktail (canned 1 cup),0.16176471,0.022222223,0.4,0.0,0.14285715,0.43333337,0.006329114,0.0,0.0
Garlic (1 clove in beans),0.005882353,0.0044444446,0.012857143,0.0,0.0071428576,0.0,0.0006329114,0.0,0.0
Garlic (1 clove),0.005882353,0.0044444446,0.012857143,0.0,0.0071428576,0.0,0.0006329114,0.0,0.0
Garlic (1/2 clove in pesto),0.0029411765,0.0022222223,0.007142857,0.0,0.0,0.0,0.0,0.0,0.0
Garlic Bread (1 slice),0.22058824,0.08888889,0.25714287,0.175,0.071428575,0.016666668,0.19620253,0.0,0.0
