name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,pacify_dosha,aggravate_dosha,tridosha,category,therapeutic_uses,contraindications,source_url,pacify_vata,pacify_pitta,pacify_kapha,aggravate_vata,aggravate_pitta,aggravate_kapha
Jatamansi,Nardostachys jatamansi,जटामांसी,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",Tikta,"Laghu, Snigdha",Sheeta,Madhura,"Medhya, rasayan, Shoolaghna","Vata, Pitta",Kapha,False,"Analgesic, Neurological, Rejuvenation","Analgesic; Calms the mind, supports mental clarity, and acts as a nervine tonic.; Neurological; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/jatamansi-ayurvedic-uses-benefits.html,1,1,0,0,0,1
Chandana,Santalum album,चंदन,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.","Madhura, Tikta",Snigdha,Sheeta,Madhura,"Mutrala, Chakshushya, Varnya",Pitta,Vata,False,"Dermatological, Ophthalmological, Urinary","Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.; Dermatological; Ophthalmological; Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/chandana-sandalwood-ayurvedic-uses.html,0,1,0,1,0,0
Kutaj,Holarrhena pubescens,कुटज,"Treats diarrhea, dysentery and balances kapha and pitta dosha.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Grahi, Krimighna, Shoolaghna","Pitta, Kapha",Vata,False,"Analgesic, Anti-parasitic, Digestive","Analgesic; Anti-parasitic; Digestive; Treats diarrhea, dysentery and balances kapha and pitta dosha.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/kutaj-ayurvedic-uses-benefits-healing.html,0,1,1,1,0,0
Rasona (Garlic),Allium sativum,लहसुन,"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Lekhana, Deepana, rasayan","Vata, Kapha",Pitta,False,"Digestive, Metabolic, Rejuvenation","Digestive; Metabolic; Rejuvenation; Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/rasona-garlic-ayurvedic-uses-benefits.html,1,0,1,0,1,0
Kanchanar,Bauhinia variegata,कांचनार,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.","Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,"Lekhana, Shothahara, Granthihara","Kapha, Pitta",Vata,False,"Anti-inflammatory, Anti-tumour, Metabolic","Anti-inflammatory; Anti-tumour; Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.; Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/kanchanar-ayurvedic-uses-benefits.html,0,1,1,1,0,0
Karpura (Camphor),Cinnamomum camphora,कपूर,"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.","Tikta, Katu","Laghu, Ruksha",Sheeta,Katu,"Kasahara, Shwasahara, Krimighna",Kapha,Pitta,False,"Anti-parasitic, Respiratory","Anti-parasitic; Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.; Respiratory","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/karpura-ayurvedic-uses-benefits-healing.html,0,0,1,0,1,0
Pushkarmool,Inula racemosa,पुष्करमूल,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kasahara, Shwasahara, Hrudya","Vata, Kapha",Pitta,False,"Cardiac, Respiratory","Cardiac; Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.; Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/pushkarmool-ayurvedic-uses-respiratory.html,1,0,1,0,1,0
Bakuchi,Psoralea corylifolia,बाकुची,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kushtaghna, Varnya, rasayan",Kapha,"Pitta, Vata",False,"Dermatological, Rejuvenation","Dermatological; Rejuvenation; Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/bakuchi-ayurvedic-uses-benefits-healing.html,0,0,1,1,1,0
Vidarikand,Pueraria tuberosa,विदारीकंद,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, rasayan, Vrishya","Vata, Pitta",Kapha,False,"Rejuvenation, Reproductive, Strengthening","Acts as a nutritive tonic, improves fertility, and strengthens the body.; Rejuvenation; Reproductive; Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/vidarikand-ayurvedic-uses-rejuvenating.html,1,1,0,0,0,1
Ajmoda,Apium graveolens,अजमोदा,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Vatanulomana","Kapha, Vata",Pitta,False,Digestive,"Digestive; Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/ajmoda-ayurvedic-uses-benefits-healing.html,1,0,1,0,1,0
Patola,Trichosanthes dioica,पटोला,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",Tikta,"Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Jwaraghna, Kushtaghna",Pitta,Vata,False,"Anti-pyretic, Blood Purification, Dermatological","Anti-pyretic; Blood Purification; Dermatological; Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/patola-ayurvedic-uses-benefits-healing.html,0,1,0,1,0,0
Vrikshamla,Garcinia indica,वृक्षाम्ल,Helps in weight management and digestion. Rich in hydroxycitric acid.,Amla,Laghu,Ushna,Katu,"Lekhana, Deepana, Medohara",Kapha,Pitta,False,"Digestive, Metabolic",Digestive; Helps in weight management and digestion. Rich in hydroxycitric acid.; Metabolic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/vrikshamla-ayurvedic-uses-weight-loss.html,0,0,1,0,1,0
Kumuda,Nymphaea nouchali,कुमुद,"Useful in burning sensation, pitta disorders and fever.","Tikta, Kashaya",Laghu,Sheeta,Katu,"Jwaraghna, Raktapittaghna",Pitta,Kapha,False,"Anti-pyretic, Blood Purification","Anti-pyretic; Blood Purification; Useful in burning sensation, pitta disorders and fever.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/kumuda-ayurvedic-uses-benefits-healing.html,0,1,0,0,0,1
Shigru,Moringa oleifera,शिग्रु,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Shothahara, Krimighna, Medohara","Kapha, Vata",Pitta,False,"Anti-inflammatory, Anti-parasitic, Metabolic","Anti-inflammatory; Anti-parasitic; Metabolic; Moringa is rich in nutrients, detoxifies blood, and improves digestion.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/shigru-moringa-ayurvedic-uses-benefits.html,1,0,1,0,1,0
Parpataka,Fumaria indica,पर्पटक,"Reduces burning sensation, used in fever, acidity and liver ailments.",Tikta,Laghu,Sheeta,Katu,"Pittaghna, Jwaraghna",Pitta,Vata,False,"Anti-pyretic, Pitta Pacifying","Anti-pyretic; Pitta Pacifying; Reduces burning sensation, used in fever, acidity and liver ailments.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/parpataka-ayurvedic-uses-benefits.html,0,1,0,1,0,0
Indrayava,Holarrhena pubescens,इंद्रयव,"Treats diarrhea, dysentery and helps regulate bowel movements.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Grahi, Krimighna, Raktashodhak","Kapha, Pitta",Vata,False,"Anti-parasitic, Blood Purification, Digestive","Anti-parasitic; Blood Purification; Digestive; Treats diarrhea, dysentery and helps regulate bowel movements.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/indrayava-ayurvedic-uses-digestive.html,0,1,1,1,0,0
Kapikachhu,Mucuna pruriens,कपिकच्छु,"Improves fertility, nervous strength and acts as aphrodisiac.",Madhura,Snigdha,Ushna,Madhura,"Vrishya, Balya, Medhya",Vata,Kapha,False,"Neurological, Reproductive, Strengthening","Improves fertility, nervous strength and acts as aphrodisiac.; Neurological; Reproductive; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/kapikachhu-ayurvedic-uses-benefits.html,1,0,0,0,0,1
Bala,Sida cordifolia,बला,"Improves strength and stamina, useful in vata disorders and nervous weakness.",Madhura,"Snigdha, Guru",Sheeta,Madhura,"Balya, rasayan, Brimhaniya",Vata,Kapha,False,"Nutritive, Rejuvenation, Strengthening","Improves strength and stamina, useful in vata disorders and nervous weakness.; Nutritive; Rejuvenation; Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/bala-ayurvedic-uses-benefits-healing.html,1,0,0,0,0,1
Tamalpatra,Cinnamomum tamala,तमालपत्र,"Bay leaf improves appetite, respiration and balances kapha dosha.","Tikta, Katu",Laghu,Ushna,Katu,"Deepana, Krimighna","Kapha, Vata",Pitta,False,"Anti-parasitic, Digestive","Anti-parasitic; Bay leaf improves appetite, respiration and balances kapha dosha.; Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/tamalpatra-ayurvedic-uses-benefits.html,1,0,1,0,1,0
Chitrak,Plumbago zeylanica,चित्रक,"Ignites digestive fire, used in weight loss and ama digestion.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Lekhana","Kapha, Vata",Pitta,False,"Digestive, Metabolic","Digestive; Ignites digestive fire, used in weight loss and ama digestion.; Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/chitrak-ayurvedic-uses-benefits-healing.html,1,0,1,0,1,0
Tagar,Valeriana wallichii,तगर,"Relieves stress, induces sleep and calms the nervous system.",Tikta,Guru,Sheeta,Madhura,"Medhya, Nidrajanaka, rasayan","Vata, Pitta",Kapha,False,"Neurological, Rejuvenation","Neurological; Rejuvenation; Relieves stress, induces sleep and calms the nervous system.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/tagar-ayurvedic-uses-benefits-healing.html,1,1,0,0,0,1
Khadira,Acacia catechu,खदिर,"Purifies blood, useful in skin diseases, leprosy, and itching.",Kashaya,"Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Kushtaghna, Grahi","Kapha, Pitta",Vata,False,"Blood Purification, Dermatological, Digestive","Blood Purification; Dermatological; Digestive; Purifies blood, useful in skin diseases, leprosy, and itching.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/khadira-ayurvedic-uses-benefits-healing.html,0,1,1,1,0,0
Twak (Cinnamon),Cinnamomum verum,दालचीनी,"Stimulates digestion, circulation and balances kapha dosha.","Katu, Tikta","Laghu, Snigdha",Ushna,Katu,"Deepana, Lekhana, Kasahara","Kapha, Vata",Pitta,False,"Digestive, Metabolic, Respiratory","Digestive; Metabolic; Respiratory; Stimulates digestion, circulation and balances kapha dosha.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/twak-cinnamon-ayurvedic-uses-benefits.html,1,0,1,0,1,0
Ela,Elettaria cardamomum,इलायची,"Improves digestion, relieves nausea and freshens breath.","Madhura, Tikta",Laghu,Ushna,Katu,"Deepana, Hridaya, Vatanulomana","Kapha, Vata",Pitta,False,"Cardiac, Digestive","Cardiac; Digestive; Improves digestion, relieves nausea and freshens breath.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/ela-ayurvedic-uses-benefits-healing.html,1,0,1,0,1,0
Sariva,Hemidesmus indicus,सारिवा,"Sariva is known for its blood purifying and cooling properties, useful in skin disorders.","Madhura, Tikta","Guru, Snigdha",Sheeta,Madhura,"Raktashodhak, Kushtaghna, Varnya","Pitta, Vata",Kapha,False,"Blood Purification, Dermatological","Blood Purification; Dermatological; Sariva is known for its blood purifying and cooling properties, useful in skin disorders.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/sariva-ayurvedic-uses-benefits-healing.html,1,1,0,0,0,1
Gorakhmundi,Sphaeranthus indicus,गोरखमुंडी,"Used in urinary tract infections, liver disorders, and as a detoxifying herb.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Mutrala, Raktashodhak, Deepana","Kapha, Pitta",Vata,False,"Blood Purification, Digestive, Urinary","Blood Purification; Digestive; Urinary; Used in urinary tract infections, liver disorders, and as a detoxifying herb.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/gorakhmundi-ayurvedic-uses-benefits.html,0,1,1,1,0,0
Kokilaksha,Asteracantha longifolia,कोकिलाक्ष,"A nerve tonic and aphrodisiac, used for urinary and reproductive health.",Tikta,Laghu,Sheeta,Madhura,"Vrishya, Balya, Mutrala","Vata, Pitta",Kapha,False,"Reproductive, Strengthening, Urinary","A nerve tonic and aphrodisiac, used for urinary and reproductive health.; Reproductive; Strengthening; Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",https://www.amidhaayurveda.com/2025/10/kokilaksha-ayurvedic-uses-benefits.html,1,1,0,0,0,1
Mahamanjishthadi,,,Classical Ayurvedic formulation used in blood purification and skin health.,"Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Kushtaghna, Varnya",Pitta,"Vata, Kapha",False,"Blood Purification, Dermatological",Blood Purification; Classical Ayurvedic formulation used in blood purification and skin health.; Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/mahamanjishthadi.html,0,1,0,1,0,1
Yavani,Trachyspermum ammi,अजवाइन,"Relieves abdominal pain, bloating and indigestion; acts as carminative.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Vatanulomana","Kapha, Vata",Pitta,False,Digestive,"Digestive; Relieves abdominal pain, bloating and indigestion; acts as carminative.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/yavani.html,1,0,1,0,1,0
Bhunimba,Andrographis paniculata,भूनिंब,"Bhunimba is a bitter herb helpful in fever, liver disorders, and pitta conditions.",Tikta,Laghu,Sheeta,Katu,"Jwaraghna, Pittaghna, Raktaprasadak",Pitta,Vata,False,"Anti-pyretic, Blood Purification, Pitta Pacifying","Anti-pyretic; Bhunimba is a bitter herb helpful in fever, liver disorders, and pitta conditions.; Blood Purification; Pitta Pacifying","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bhunimba.html,0,1,0,1,0,0
Chavya,Piper retrofractum,चव्य,Promotes digestion and clears ama; excellent for vata and kapha conditions.,Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Krimighna","Kapha, Vata",Pitta,False,"Anti-parasitic, Digestive",Anti-parasitic; Digestive; Promotes digestion and clears ama; excellent for vata and kapha conditions.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/chavya.html,1,0,1,0,1,0
Panchatikta Ghrita,,,"Classic Ayurvedic formulation used in skin diseases, detox and pitta disorders.",Tikta,"Snigdha, Guru",Sheeta,Madhura,"Raktashodhak, Varnya, Kushtaghna","Pitta, Kapha",Vata,False,"Blood Purification, Dermatological","Blood Purification; Classic Ayurvedic formulation used in skin diseases, detox and pitta disorders.; Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/panchatikta-ghrita.html,0,1,1,1,0,0
