name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,therapeutic_uses,category,contraindications,pacify_dosha,aggravate_dosha,tridosha,source_url
Patola,Trichosanthes dioica,पटोला,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",Tikta,"Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Jwaraghna, Kushtaghna","Anti-pyretic; Blood Purification; Dermatological; Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.","Anti-pyretic, Blood Purification, Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,https://www.amidhaayurveda.com/2025/10/patola-ayurvedic-uses-benefits-healing.html
Vrikshamla,Garcinia indica,वृक्षाम्ल,Helps in weight management and digestion. Rich in hydroxycitric acid.,Amla,Laghu,Ushna,Katu,"Lekhana, Deepana, Medohara",Digestive; Helps in weight management and digestion. Rich in hydroxycitric acid.; Metabolic,"Digestive, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,Pitta,False,https://www.amidhaayurveda.com/2025/10/vrikshamla-ayurvedic-uses-weight-loss.html
Kumuda,Nymphaea nouchali,कुमुद,"Useful in burning sensation, pitta disorders and fever.","Tikta, Kashaya",Laghu,Sheeta,Katu,"Jwaraghna, Raktapittaghna","Anti-pyretic; Blood Purification; Useful in burning sensation, pitta disorders and fever.","Anti-pyretic, Blood Purification","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Kapha,False,https://www.amidhaayurveda.com/2025/10/kumuda-ayurvedic-uses-benefits-healing.html
Shigru,Moringa oleifera,शिग्रु,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Shothahara, Krimighna, Medohara","Anti-inflammatory; Anti-parasitic; Metabolic; Moringa is rich in nutrients, detoxifies blood, and improves digestion.","Anti-inflammatory, Anti-parasitic, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/shigru-moringa-ayurvedic-uses-benefits.html
Parpataka,Fumaria indica,पर्पटक,"Reduces burning sensation, used in fever, acidity and liver ailments.",Tikta,Laghu,Sheeta,Katu,"Pittaghna, Jwaraghna","Anti-pyretic; Pitta Pacifying; Reduces burning sensation, used in fever, acidity and liver ailments.","Anti-pyretic, Pitta Pacifying","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,https://www.amidhaayurveda.com/2025/10/parpataka-ayurvedic-uses-benefits.html
Indrayava,Holarrhena pubescens,इंद्रयव,"Treats diarrhea, dysentery and helps regulate bowel movements.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Grahi, Krimighna, Raktashodhak","Anti-parasitic; Blood Purification; Digestive; Treats diarrhea, dysentery and helps regulate bowel movements.","Anti-parasitic, Blood Purification, Digestive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,https://www.amidhaayurveda.com/2025/10/indrayava-ayurvedic-uses-digestive.html
Kapikachhu,Mucuna pruriens,कपिकच्छु,"Improves fertility, nervous strength and acts as aphrodisiac.",Madhura,Snigdha,Ushna,Madhura,"Vrishya, Balya, Medhya","Improves fertility, nervous strength and acts as aphrodisiac.; Neurological; Reproductive; Strengthening","Neurological, Reproductive, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Kapha,False,https://www.amidhaayurveda.com/2025/10/kapikachhu-ayurvedic-uses-benefits.html
Bala,Sida cordifolia,बला,"Improves strength and stamina, useful in vata disorders and nervous weakness.",Madhura,"Snigdha, Guru",Sheeta,Madhura,"Balya, rasayan, Brimhaniya","Improves strength and stamina, useful in vata disorders and nervous weakness.; Nutritive; Rejuvenation; Strengthening","Nutritive, Rejuvenation, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Kapha,False,https://www.amidhaayurveda.com/2025/10/bala-ayurvedic-uses-benefits-healing.html
Tamalpatra,Cinnamomum tamala,तमालपत्र,"Bay leaf improves appetite, respiration and balances kapha dosha.","Tikta, Katu",Laghu,Ushna,Katu,"Deepana, Krimighna","Anti-parasitic; Bay leaf improves appetite, respiration and balances kapha dosha.; Digestive","Anti-parasitic, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/tamalpatra-ayurvedic-uses-benefits.html
Chitrak,Plumbago zeylanica,चित्रक,"Ignites digestive fire, used in weight loss and ama digestion.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Lekhana","Digestive; Ignites digestive fire, used in weight loss and ama digestion.; Metabolic","Digestive, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/chitrak-ayurvedic-uses-benefits-healing.html
Tagar,Valeriana wallichii,तगर,"Relieves stress, induces sleep and calms the nervous system.",Tikta,Guru,Sheeta,Madhura,"Medhya, Nidrajanaka, rasayan","Neurological; Rejuvenation; Relieves stress, induces sleep and calms the nervous system.","Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/2025/10/tagar-ayurvedic-uses-benefits-healing.html
Khadira,Acacia catechu,खदिर,"Purifies blood, useful in skin diseases, leprosy, and itching.",Kashaya,"Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Kushtaghna, Grahi","Blood Purification; Dermatological; Digestive; Purifies blood, useful in skin diseases, leprosy, and itching.","Blood Purification, Dermatological, Digestive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,https://www.amidhaayurveda.com/2025/10/khadira-ayurvedic-uses-benefits-healing.html
Twak (Cinnamon),Cinnamomum verum,दालचीनी,"Stimulates digestion, circulation and balances kapha dosha.","Katu, Tikta","Laghu, Snigdha",Ushna,Katu,"Deepana, Lekhana, Kasahara","Digestive; Metabolic; Respiratory; Stimulates digestion, circulation and balances kapha dosha.","Digestive, Metabolic, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/twak-cinnamon-ayurvedic-uses-benefits.html
Ela,Elettaria cardamomum,इलायची,"Improves digestion, relieves nausea and freshens breath.","Madhura, Tikta",Laghu,Ushna,Katu,"Deepana, Hridaya, Vatanulomana","Cardiac; Digestive; Improves digestion, relieves nausea and freshens breath.","Cardiac, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,https://www.amidhaayurveda.com/2025/10/ela-ayurvedic-uses-benefits-healing.html
Sariva,Hemidesmus indicus,सारिवा,"Sariva is known for its blood purifying and cooling properties, useful in skin disorders.","Madhura, Tikta","Guru, Snigdha",Sheeta,Madhura,"Raktashodhak, Kushtaghna, Varnya","Blood Purification; Dermatological; Sariva is known for its blood purifying and cooling properties, useful in skin disorders.","Blood Purification, Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Vata",Kapha,False,https://www.amidhaayurveda.com/2025/10/sariva-ayurvedic-uses-benefits-healing.html
Gorakhmundi,Sphaeranthus indicus,गोरखमुंडी,"Used in urinary tract infections, liver disorders, and as a detoxifying herb.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Mutrala, Raktashodhak, Deepana","Blood Purification; Digestive; Urinary; Used in urinary tract infections, liver disorders, and as a detoxifying herb.","Blood Purification, Digestive, Urinary","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,https://www.amidhaayurveda.com/2025/10/gorakhmundi-ayurvedic-uses-benefits.html
Kokilaksha,Asteracantha longifolia,कोकिलाक्ष,"A nerve tonic and aphrodisiac, used for urinary and reproductive health.",Tikta,Laghu,Sheeta,Madhura,"Vrishya, Balya, Mutrala","A nerve tonic and aphrodisiac, used for urinary and reproductive health.; Reproductive; Strengthening; Urinary","Reproductive, Strengthening, Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,https://www.amidhaayurveda.com/2025/10/kokilaksha-ayurvedic-uses-benefits.html
Mahamanjishthadi,,,Classical Ayurvedic formulation used in blood purification and skin health.,"Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Raktashodhak, Kushtaghna, Varnya",Blood Purification; Classical Ayurvedic formulation used in blood purification and skin health.; Dermatological,"Blood Purification, Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/mahamanjishthadi.html
Yavani,Trachyspermum ammi,अजवाइन,"Relieves abdominal pain, bloating and indigestion; acts as carminative.","Katu, Tikta","Laghu, Ruksha",Ushna,Katu,"Deepana, Pachana, Vatanulomana","Digestive; Relieves abdominal pain, bloating and indigestion; acts as carminative.",Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/yavani.html
Bhunimba,Andrographis paniculata,भूनिंब,"Bhunimba is a bitter herb helpful in fever, liver disorders, and pitta conditions.",Tikta,Laghu,Sheeta,Katu,"Jwaraghna, Pittaghna, Raktaprasadak","Anti-pyretic; Bhunimba is a bitter herb helpful in fever, liver disorders, and pitta conditions.; Blood Purification; Pitta Pacifying","Anti-pyretic, Blood Purification, Pitta Pacifying","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,/p/bhunimba.html
Chavya,Piper retrofractum,चव्य,Promotes digestion and clears ama; excellent for vata and kapha conditions.,Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Krimighna",Anti-parasitic; Digestive; Promotes digestion and clears ama; excellent for vata and kapha conditions.,"Anti-parasitic, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/chavya.html
Panchatikta Ghrita,,,"Classic Ayurvedic formulation used in skin diseases, detox and pitta disorders.",Tikta,"Snigdha, Guru",Sheeta,Madhura,"Raktashodhak, Varnya, Kushtaghna","Blood Purification; Classic Ayurvedic formulation used in skin diseases, detox and pitta disorders.; Dermatological","Blood Purification, Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/panchatikta-ghrita.html
Palasha,Butea monosperma,पलाश,"Known for its anti-helminthic properties, Palasha helps eliminate intestinal parasites.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Krimighna, Raktashodhak, Shothahara","Anti-inflammatory; Anti-parasitic; Blood Purification; Known for its anti-helminthic properties, Palasha helps eliminate intestinal parasites.","Anti-inflammatory, Anti-parasitic, Blood Purification","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,/p/palasha.html
Karanja,Pongamia pinnata,करंज,"Used in skin disorders, leprosy, and inflammation due to its detoxifying nature.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Kushtaghna, Vranashodhak, Krimighna","Anti-parasitic; Dermatological; Used in skin disorders, leprosy, and inflammation due to its detoxifying nature.; Wound Healing","Anti-parasitic, Dermatological, Wound Healing","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Kapha,"Pitta, Vata",False,/p/karanja.html
