Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Butter (1 tbsp),100.0,0.1,0.0,11.0,0.0,0.0,82.0,30.0,0.0
Cabbage Slaw (side),60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,0.0
Cacio e Pepe (1.5 cups),500.0,18.0,65.0,19.0,4.0,3.0,700.0,50.0,0.0
Caesar Salad (with chicken),470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,250.0
Calamari (fried 3oz),150.0,13.0,8.0,7.0,1.0,1.0,600.0,220.0,0.0
Campari & Soda (1 drink),85.0,0.0,10.0,0.0,0.0,10.0,25.0,0.0,150.0
Campari (1 oz),80.0,0.0,10.0,0.0,0.0,10.0,5.0,0.0,0.0
Canadian Bacon (2 slices),80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,0.0
Candied Fruit (1 tbsp),30.0,0.0,8.0,0.0,0.5,8.0,5.0,0.0,0.0
Cannellini Beans (1/2 cup in soup),105.0,7.0,20.0,0.5,6.0,1.0,230.0,0.0,0.0
Cannoli (1 medium),240.0,5.0,25.0,13.0,1.0,18.0,100.0,30.0,0.0
Capers (1 tbsp),2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,0.0
Capers (garnish),2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,0.0
Caponata (1/2 cup),180.0,2.0,15.0,14.0,5.0,9.0,400.0,0.0,0.0
Caprese Salad,240.0,10.0,8.0,18.0,2.0,5.0,350.0,40.0,250.0
Caramel Sauce (1 tbsp),60.0,0.0,13.0,1.0,0.0,12.0,30.0,5.0,0.0
Carbonara (1.5 cups),650.0,25.0,60.0,35.0,4.0,4.0,900.0,250.0,0.0
Cardamom (in coffee),1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
Carrot (1/4 minced in sauce),10.0,0.2,2.4,0.1,0.7,1.2,17.0,0.0,0.0
Carrot Sticks (1 cup),52.0,1.2,12.3,0.3,3.6,6.0,88.0,0.0,0.0
Cashews (1 oz roasted),163.0,4.3,9.2,13.1,0.9,1.4,140.0,0.0,0.0
Celery (1 stalk),6.0,0.3,1.2,0.1,0.6,0.5,32.0,0.0,0.0
Celery (1/4 stalk minced),2.0,0.1,0.4,0.0,0.2,0.2,12.0,0.0,0.0
Celery Sticks (1 cup),14.0,0.6,3.0,0.2,1.4,1.2,77.0,0.0,0.0
Century Egg (1 egg),100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,0.0
Cereal (Frosted Flakes 1 cup),130.0,2.0,31.0,0.0,1.0,11.0,190.0,0.0,0.0
Cereal Bar (Fruit),140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,250.0
Ceviche (1 cup fish),180.0,25.0,15.0,2.0,3.0,4.0,700.0,45.0,0.0
Chai Latte (12 oz),190.0,7.0,32.0,4.0,1.0,30.0,105.0,15.0,355.0
Cheddar Cheese (1 oz),115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,0.0
Cheese Danish,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,250.0
Cheese Whiz (2 tbsp),90.0,4.0,3.0,7.0,0.0,2.0,540.0,20.0,0.0
Cheesecake (1 slice),320.0,5.0,28.0,21.0,1.0,20.0,280.0,65.0,250.0
Cheesy Grits (1 cup),210.0,6.0,34.0,6.0,2.0,1.0,550.0,20.0,0.0
Cherries (1 cup),77.0,1.6,19.0,0.5,2.5,15.0,0.0,0.0,0.0
Chicken & Rice Soup (1 can),130.0,7.0,18.0,3.0,2.0,2.0,850.0,15.0,250.0
Chicken Alfredo (1.5 cups),680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,250.0
Chicken Breast (4oz roasted),185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,500.0
Chicken Kebab (2 skewers),280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,250.0
Chicken Liver (2 oz cooked),91.0,13.6,0.6,3.6,0.0,0.0,50.0,320.0,0.0
Chicken McNuggets (6 pcs),270.0,15.0,16.0,16.0,1.0,0.0,500.0,40.0,0.0
Chicken Milanesa (1 serving),450.0,35.0,30.0,22.0,3.0,2.0,700.0,100.0,0.0
Chicken Noodle Soup (1 can),150.0,7.0,18.0,5.0,2.0,2.0,890.0,15.0,250.0
Chicken Parm Sandwich,650.0,40.0,55.0,30.0,6.0,9.0,1400.0,100.0,500.0
Chicken Piccata (1 serving),350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,250.0
Chicken Salad Sandwich,420.0,20.0,35.0,20.0,3.0,5.0,850.0,60.0,250.0
Chicken Thigh (1 roasted),210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,0.0
Chicken Tikka Masala (1.5 cups),480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,250.0
Chicken Wrap (with tortilla),410.0,25.0,38.0,17.0,5.0,3.0,780.0,60.0,250.0
Chickpeas (1/2 cup canned),135.0,7.0,22.0,2.0,6.0,3.0,250.0,0.0,0.0
Chili Powder (1 tsp),8.0,0.3,1.4,0.4,0.9,0.2,10.0,0.0,0.0
Chimichurri (1 tbsp),45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,0.0
Chocolate (Hershey's bar 1 segment),25.0,0.3,3.0,1.5,0.2,2.8,4.0,1.0,0.0
Chocolate Chip Cookie (1 large),220.0,2.5,30.0,11.0,1.5,19.0,160.0,20.0,0.0
Chocolate Croissant,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,250.0
Chocolate Donut (1 medium),300.0,4.0,35.0,17.0,2.0,18.0,230.0,20.0,0.0
Chocolate Milk (1 cup),200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,0.0
Chocolate Pudding (1/2 cup),150.0,2.0,28.0,4.0,2.0,22.0,130.0,2.0,0.0
Chocolate Sauce (1 tbsp dipping),50.0,0.5,10.0,1.5,1.0,8.0,5.0,0.0,0.0
Choripan (1 sandwich),550.0,20.0,40.0,35.0,3.0,4.0,1100.0,80.0,250.0
Chorizo (1 oz in paella),130.0,6.0,1.0,11.0,0.0,0.5,350.0,30.0,0.0
Churros (2 sticks),240.0,3.0,30.0,12.0,1.5,10.0,200.0,20.0,0.0
Chutney (Mango 1 tbsp),45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,0.0
Cilantro (2 tbsp garnish),1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Cinnamon Sugar (1 tsp),20.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Clam Chowder (1 cup),200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,0.0
Club Sandwich,580.0,35.0,40.0,30.0,5.0,7.0,1300.0,95.0,500.0
Club Soda (2 oz),0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Coarse Salt (garnish),0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
Cobb Salad,510.0,30.0,12.0,38.0,7.0,6.0,800.0,210.0,500.0
Cocktail Sauce (2 tbsp),30.0,0.5,7.0,0.0,0.5,5.0,450.0,0.0,0.0
Coconut (shredded 1/4 cup),110.0,1.0,4.5,10.5,2.0,1.5,3.0,0.0,0.0
Coconut (shredded garnish),10.0,0.1,0.5,1.0,0.2,0.1,0.0,0.0,0.0
Coconut Flakes (1 tbsp topping),35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,0.0
Coconut Milk (1/4 cup canned),111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,0.0
Coconut Shrimp (5 pcs),320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,0.0
Coconut Water (1 cup),46.0,1.7,8.9,0.5,2.6,6.3,252.0,0.0,240.0
Cod (4oz baked),95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,250.0
Coffee (black),5.0,0.3,0.0,0.1,0.0,0.0,5.0,0.0,0.0
Coffee (with cream/sugar),50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,250.0
Coffee Beans (3 garnish),2.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0
Coffee Liqueur (1 oz),100.0,0.0,15.0,0.0,0.0,15.0,2.0,0.0,0.0
Collard Greens (1 cup cooked),60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,0.0
Collard Greens (with ham hock),180.0,10.0,15.0,9.0,8.0,3.0,600.0,30.0,0.0
Congee (1 cup plain),130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,0.0
Coriander (1 tsp),5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,0.0
Corn (1 cup),132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,0.0
Corn Flakes (1 cup),100.0,2.0,24.0,0.0,1.0,3.0,200.0,0.0,0.0
Corn Nuts (1 oz),130.0,2.0,23.0,4.0,2.0,0.0,180.0,0.0,0.0
Corn Tortilla (1 medium),52.0,1.4,11.2,0.7,1.5,0.2,4.0,0.0,0.0
Corn on the Cob (1 large),125.0,5.0,29.0,1.5,3.0,5.0,2.0,0.0,0.0
Cottage Cheese (1 cup low fat),160.0,28.0,6.0,2.5,0.0,4.0,820.0,10.0,250.0
Cottage Cheese (1/2 cup),90.0,12.0,5.0,3.0,0.0,4.0,400.0,10.0,0.0
Crab Cakes (2 medium),340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,250.0
Crackers (5 whole wheat),90.0,2.0,14.0,3.0,2.0,0.0,180.0,0.0,0.0
Cranberry Juice (1 cup),130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,240.0
Cream Cheese (2 tbsp),100.0,2.0,2.0,10.0,0.0,1.0,90.0,30.0,0.0
Creamed Spinach (1/2 cup),190.0,5.0,8.0,16.0,3.0,2.0,450.0,50.0,0.0
Crepe (1 plain),90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,0.0
Croutons (1/4 cup),50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,0.0
Croutons (Garlic 1/4 cup),50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,0.0
Crushed Tomatoes (1/2 cup sauce),20.0,1.0,4.0,0.0,1.5,3.0,200.0,0.0,0.0
Cucumber (1/4 cup side),8.0,0.3,1.8,0.0,0.2,0.8,1.0,0.0,0.0
Cucumber Salad (1/2 cup),40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,0.0
Cucumber Slices (1 cup),16.0,0.7,3.6,0.1,0.5,1.7,2.0,0.0,0.0
Cumin (1 tsp),8.0,0.3,1.5,0.5,0.4,0.1,3.0,0.0,0.0
Cupcake (Vanilla 1 medium),240.0,2.0,35.0,11.0,1.0,25.0,200.0,30.0,0.0
Custard (1/4 cup),80.0,3.0,10.0,3.0,0.0,8.0,40.0,40.0,0.0
Danish (Cheese 1 medium),340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,250.0
Dark Chocolate (1 oz 70%),170.0,2.2,13.0,12.0,3.0,7.0,5.0,0.0,0.0
Dates (2 medium Medjool),133.0,0.8,36.0,0.1,3.2,32.0,1.0,0.0,0.0
Diet Soda (1 can),0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,355.0
Dim Sum (Siu Mai 3 pcs),180.0,12.0,10.0,10.0,2.0,1.0,550.0,60.0,0.0
Duck (3oz roasted),285.0,16.0,0.0,24.0,0.0,0.0,65.0,72.0,0.0
Dulce de Leche (1 tbsp filling),65.0,1.0,12.0,1.5,0.0,10.0,30.0,5.0,0.0
Edamame (in pod 1 cup),120.0,11.0,9.0,5.0,5.0,2.0,9.0,0.0,250.0
Egg Drop Soup (1 cup),65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,0.0
Egg Noodles (1 cup cooked),220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,0.0
Egg White (in drink),17.0,3.6,0.2,0.0,0.0,0.2,55.0,0.0,0.0
Egg Yolk (1 large in sauce),55.0,2.7,0.6,4.5,0.0,0.3,8.0,184.0,0.0
Eggo Waffle (2 waffles),180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,0.0
Eggplant (1/2 cup in caponata),40.0,0.5,6.0,2.0,2.0,3.0,150.0,0.0,0.0
Eggs Benedict (1 serving),600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,250.0
Empanada (Beef 1 medium),290.0,10.0,28.0,16.0,3.0,3.0,550.0,30.0,0.0
English Muffin (whole wheat),134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,250.0
Espresso (1 oz in drink),3.0,0.3,0.0,0.1,0.0,0.0,1.0,0.0,0.0
Espresso (double shot),5.0,0.5,0.0,0.1,0.0,0.0,1.0,0.0,60.0
Espresso (for dipping),2.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,30.0
Espresso Martini (1 drink),280.0,0.5,25.0,0.0,0.0,25.0,5.0,0.0,120.0
Falafel (3 pieces),180.0,6.0,18.0,9.0,4.0,1.0,320.0,0.0,0.0
Fattoush Salad (1.5 cups),250.0,5.0,25.0,15.0,6.0,5.0,500.0,0.0,0.0
Feta Cheese (1 oz),75.0,4.0,1.2,6.1,0.0,0.7,316.0,25.0,0.0
Figs (2 medium),74.0,0.6,19.2,0.3,2.9,16.2,2.0,0.0,0.0
Fiorentina Steak (3oz portion),230.0,24.0,0.0,15.0,0.0,0.0,60.0,75.0,0.0
Fish Sauce (1 tsp),5.0,0.4,0.5,0.0,0.0,0.4,450.0,0.0,0.0
Fish Tacos (2 tacos),420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,500.0
Flan (1 slice),220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,0.0
Focaccia (1 square),250.0,8.0,40.0,7.0,2.0,2.0,500.0,0.0,0.0
French Bread (2 slices),180.0,6.0,36.0,1.0,2.0,2.0,380.0,0.0,0.0
French Fries (as side),200.0,2.0,25.0,10.0,2.0,0.2,130.0,0.0,0.0
French Fries (medium),340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,0.0
French Fries (side),340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,0.0
French Onion Soup (1 cup),150.0,6.0,15.0,7.0,2.0,5.0,800.0,20.0,250.0
Fresh Mozzarella (1 oz),72.0,5.0,0.8,5.0,0.0,0.3,138.0,22.0,0.0
Fried Okra (1 cup),220.0,4.0,25.0,12.0,5.0,3.0,450.0,10.0,0.0
Fried Pita (1/2 pita in salad),80.0,2.0,12.0,3.0,1.0,0.5,150.0,0.0,0.0
Frosting (Vanilla 2 tbsp),140.0,0.0,22.0,6.0,0.0,22.0,65.0,0.0,0.0
Fruit Cocktail (canned 1 cup),110.0,1.0,28.0,0.0,2.0,26.0,10.0,0.0,0.0
Garlic (1 clove in beans),4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,0.0
Garlic (1 clove),4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,0.0
Garlic (1/2 clove in pesto),2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Garlic Bread (1 slice),150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,0.0
Garlic Sauce (1 tbsp),90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,0.0
Garlic Sauce (Toum 1 tbsp),90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,0.0
Gazpacho (1 cup),90.0,2.0,12.0,4.0,3.0,7.0,600.0,0.0,240.0
Gelato (Pistachio 1/2 cup),220.0,5.0,24.0,12.0,2.0,20.0,60.0,40.0,0.0
Gin & Tonic (1 drink),170.0,0.0,13.0,0.0,0.0,13.0,2.0,0.0,180.0
Gin (1 oz),70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ginger Ale (1 can),124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,355.0
Gnocchi (1 cup),210.0,4.5,45.0,1.5,3.0,2.0,480.0,0.0,0.0
Gnocchi alla Sorrentina (1.5 cups),450.0,15.0,60.0,18.0,6.0,9.0,800.0,40.0,0.0
Goat Cheese (1 oz),103.0,6.1,0.1,8.5,0.0,0.1,146.0,22.0,0.0
Gochugaru (1 tsp),10.0,0.3,1.8,0.3,0.5,0.3,1.0,0.0,0.0
Gochujang (1 tbsp),30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,0.0
Gorgonzola Cheese (1 oz),100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,0.0
Graham Cracker (1 large rectangle),60.0,1.0,11.0,1.5,0.5,4.0,70.0,0.0,0.0
Granola (1/4 cup topping),120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,0.0
Grapefruit (1/2 medium),52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,0.0
Grapes (1 cup),104.0,1.1,27.0,0.2,1.4,23.0,3.0,0.0,0.0
Greek Yogurt (plain 1 cup),150.0,25.0,8.0,3.0,0.0,7.0,85.0,10.0,250.0
Green Beans (1 cup),31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,0.0
Green Beans (1/2 cup w/ pasta),15.0,0.9,3.5,0.1,1.3,1.6,3.0,0.0,0.0
Green Curry Paste (1 tbsp),30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,0.0
Green Onion (1 tbsp garnish),3.0,0.2,0.7,0.0,0.2,0.2,0.0,0.0,0.0
Green Peas (1/2 cup),62.0,4.1,11.1,0.2,4.4,4.2,2.0,0.0,0.0
Gremolata (1 tbsp),15.0,0.5,1.0,1.0,0.5,0.5,5.0,0.0,0.0
Grilled Cheese Sandwich,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,0.0
Grilled Chicken Salad,350.0,30.0,10.0,20.0,5.0,4.0,400.0,80.0,500.0
Grits (1 cup cooked),150.0,3.0,32.0,1.0,2.0,0.5,320.0,0.0,0.0
Ground Beef (2 oz in sauce),140.0,11.0,0.0,10.0,0.0,0.0,40.0,35.0,0.0
Ground Lamb (1 oz filling),80.0,5.5,0.0,6.0,0.0,0.0,20.0,20.0,0.0
Guacamole (1/4 cup),90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,0.0
Guanciale (1 oz),170.0,3.0,0.0,18.0,0.0,0.0,450.0,35.0,0.0
Guava,68.0,2.6,14.3,0.9,5.4,8.9,3.0,0.0,0.0
Gummy Bears (10 pcs),100.0,2.0,22.0,0.0,0.0,15.0,10.0,0.0,0.0
Gyro (1 sandwich),600.0,25.0,55.0,30.0,5.0,6.0,1200.0,80.0,250.0
Halibut (4oz baked),125.0,24.0,0.0,2.5,0.0,0.0,60.0,40.0,250.0
Ham & Cheese Croissant,400.0,15.0,35.0,22.0,2.0,6.0,750.0,60.0,250.0
Ham (3oz deli sliced),110.0,16.0,2.0,4.0,0.0,1.5,950.0,45.0,0.0
Hard-Boiled Egg (1 large),78.0,6.3,0.6,5.3,0.0,0.5,62.0,187.0,0.0
Hash Browns (1 cup),330.0,3.0,38.0,19.0,3.0,1.0,550.0,0.0,0.0
Hoisin Sauce (1 tbsp),35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,0.0
Hollandaise Sauce (1 tbsp),55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,0.0
Hollandaise Sauce (2 tbsp),110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,0.0
Honey (1 tbsp),64.0,0.1,17.3,0.0,0.0,17.2,1.0,0.0,0.0
Honey (1 tsp drizzle),21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,0.0
Horchata (1 cup),140.0,2.0,25.0,3.0,1.0,22.0,30.0,5.0,240.0
Hot Chocolate (1 cup),200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,240.0
Hot Sauce (1 tsp Tabasco),0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
Hummus (1/4 cup),130.0,5.0,10.0,8.0,4.0,1.0,250.0,0.0,0.0
Hummus (2 tbsp),70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,0.0
Hummus Wrap (large),450.0,15.0,60.0,18.0,12.0,5.0,800.0,0.0,500.0
Ice Cream (1/2 cup vanilla),145.0,2.5,17.0,7.5,0.5,16.0,55.0,30.0,0.0
Iced Tea (Sweetened 16oz),180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,500.0
Italian Dressing (2 tbsp),70.0,0.0,3.0,7.0,0.0,2.0,300.0,0.0,0.0
Italian Sausage (1 link),200.0,12.0,3.0,16.0,0.0,1.0,550.0,50.0,0.0
